company_hash,n_claims,frac_searched,frac_belief,frac_disbelief,frac_no_evidence,frac_ignorance,p_invest_C0,p_invest_C2
65e30f83483d1727,74,0.2702702702702703,0.15,0.35,0.25,0.25,0.9982992602861401,1.2501530100817133e-09
c92e4c43edbf46cd,29,0.1724137931034483,0.4,0.2,0.2,0.2,,
4f5eb6852a62ef6c,78,0.038461538461538464,0.3333333333333333,0.0,0.6666666666666666,0.0,,
d9da68bd456b42bc,33,0.2727272727272727,0.0,0.0,0.7777777777777778,0.2222222222222222,,
91c6fd6ca6a84ad7,53,0.3018867924528302,0.25,0.125,0.3125,0.3125,0.9999756998852589,0.1067014197805972
94ec352ef5a233e0,116,0.1810344827586207,0.047619047619047616,0.38095238095238093,0.42857142857142855,0.14285714285714285,0.9999938558688237,0.8175794853869224
63a20c4c6b064c60,70,0.34285714285714286,0.0,0.041666666666666664,0.5416666666666666,0.4166666666666667,,
b5b91d7215d559b9,63,0.30158730158730157,0.0,0.10526315789473684,0.7368421052631579,0.15789473684210525,0.9999952140732771,0.14805927674496114
de4418405d725219,57,0.0,0.0,0.0,0.0,0.0,,
a9297e4da338360f,34,0.23529411764705882,0.0,0.25,0.5,0.25,,
9d1b5fe164bd185c,110,0.14545454545454545,0.0625,0.375,0.5625,0.0,0.9999993524090219,0.9399142784022168
d381440cb7d4d522,50,0.24,0.25,0.25,0.3333333333333333,0.16666666666666666,,
26c91c2efc94ebf0,140,0.15,0.0,0.047619047619047616,0.8095238095238095,0.14285714285714285,,
4efaf0133645c661,72,0.125,0.3333333333333333,0.0,0.5555555555555556,0.1111111111111111,,
f16073fbbeba3a04,6,0.3333333333333333,0.0,0.0,1.0,0.0,0.9999995549176371,0.04743244637903814
4f06ee1ce8c9ac89,56,0.3392857142857143,0.05263157894736842,0.10526315789473684,0.47368421052631576,0.3684210526315789,0.9999987901442536,0.010988016041386984
cf03e123cf3a0972,84,0.14285714285714285,0.0,0.16666666666666666,0.75,0.08333333333333333,0.9999974387280837,0.2689634777381326
b65d516e9b9459cb,19,0.631578947368421,0.0,0.16666666666666666,0.5,0.3333333333333333,,
3ee95e28087a4e73,52,0.19230769230769232,0.2,0.0,0.6,0.2,0.9999898700598345,0.00359408648259034
8828e14b4e32144a,63,0.31746031746031744,0.05,0.05,0.8,0.1,,
5d06a725d7787662,28,0.17857142857142858,0.0,0.0,0.2,0.8,0.9994472071848486,1.344041094196933e-08
009e7c009ff6c84b,73,0.2054794520547945,0.13333333333333333,0.0,0.6,0.26666666666666666,,
c2297fa540f97bc7,69,0.14492753623188406,0.2,0.0,0.6,0.2,0.9999952149233614,0.001501362000910226
faa78fce7376b613,37,0.16216216216216217,0.16666666666666666,0.3333333333333333,0.5,0.0,,
4df42cef5ae8f3d4,57,0.24561403508771928,0.0,0.07142857142857142,0.5714285714285714,0.35714285714285715,,
6d29d4dd5f03a986,81,0.2962962962962963,0.25,0.3333333333333333,0.2916666666666667,0.125,,
c27c47e3fee87140,76,0.14473684210526316,0.09090909090909091,0.0,0.5454545454545454,0.36363636363636365,0.9999885213049152,0.02033550742680628
b2c61d4fa4c0ae3a,69,0.2463768115942029,0.0,0.11764705882352941,0.8823529411764706,0.0,,
a0c99bc4e977d5c6,50,0.34,0.17647058823529413,0.23529411764705882,0.5294117647058824,0.058823529411764705,,
5bdd18f2589b8d1d,53,0.18867924528301888,0.0,0.2,0.8,0.0,,
3e0051782ef4fa43,83,0.14457831325301204,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.0,,
af7154269da754ef,46,0.10869565217391304,0.0,0.2,0.6,0.2,,
a3681aa4af445d0a,46,0.32608695652173914,0.2,0.0,0.6,0.2,,
a50a7e783f882df3,37,0.32432432432432434,0.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.9995694350533149,0.05341102607989252
52f7ef53e1f85ed6,34,0.5294117647058824,0.05555555555555555,0.1111111111111111,0.7777777777777778,0.05555555555555555,,
9a6e3f987b008556,58,0.08620689655172414,0.2,0.4,0.2,0.2,0.9999990577608426,0.07586515824051919
cf15a4c61bb5fd47,28,0.21428571428571427,0.0,0.0,0.8333333333333334,0.16666666666666666,,
69cbdfd21951a6a0,111,0.27927927927927926,0.1935483870967742,0.0967741935483871,0.41935483870967744,0.2903225806451613,0.9999982396685883,0.37755742683754406
7b0196d69c9af08b,36,0.25,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,,
f479255ba38b7249,49,0.24489795918367346,0.0,0.25,0.3333333333333333,0.4166666666666667,0.9999832978188847,0.9890130983664163
f171faa54f404809,0,0.0,0.0,0.0,0.0,0.0,,
e1a62e30cf7d18fa,108,0.5185185185185185,0.14285714285714285,0.14285714285714285,0.5892857142857143,0.125,,
44d75fd9db96bd52,78,0.19230769230769232,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.06666666666666667,,
c06b64894fc35539,104,0.375,0.0,0.07692307692307693,0.8205128205128205,0.10256410256410256,,
d5ec4d2f86487426,116,0.31896551724137934,0.24324324324324326,0.1891891891891892,0.3783783783783784,0.1891891891891892,,
d012c07d493fbbf9,37,0.43243243243243246,0.125,0.0625,0.6875,0.125,0.22271460292849823,0.4378344233293105
5ed4e26d2a0664cc,101,0.13861386138613863,0.07142857142857142,0.5,0.2857142857142857,0.14285714285714285,0.9999984465101498,6.825604727052104e-08
2dc794b60e52eafe,32,0.25,0.125,0.125,0.5,0.25,,
3c8c912e5ccc095e,65,0.16923076923076924,0.0,0.18181818181818182,0.8181818181818182,0.0,,
be1f1d4ec73eb000,64,0.25,0.0,0.0625,0.8125,0.125,,
4ec580083a9bcf3c,64,0.265625,0.0,0.058823529411764705,0.8235294117647058,0.11764705882352941,0.9999991684775228,4.540754896500906e-05
7afbcb42a3ebb593,41,0.3170731707317073,0.07692307692307693,0.15384615384615385,0.6923076923076923,0.07692307692307693,,
bcd0710442c94068,111,0.17117117117117117,0.0,0.10526315789473684,0.7894736842105263,0.10526315789473684,,
7d1e631f1d185c38,106,0.19811320754716982,0.047619047619047616,0.19047619047619047,0.7142857142857143,0.047619047619047616,0.9999810744392906,0.0011696787818379613
e6bd266a3eaf41c8,27,0.18518518518518517,0.0,0.0,1.0,0.0,,
f3fe8fd5ac337141,58,0.25862068965517243,0.06666666666666667,0.13333333333333333,0.8,0.0,,
ec02e2ddacc9df95,93,0.43010752688172044,0.125,0.15,0.375,0.35,0.999997097704189,0.500015398163915
2099bdeb049673dd,93,0.10752688172043011,0.1,0.0,0.9,0.0,,
75e08aeb76ed091a,59,0.2033898305084746,0.25,0.16666666666666666,0.3333333333333333,0.25,,
2007713958df6ea3,51,0.09803921568627451,0.0,0.4,0.4,0.2,,
764492491b063485,169,0.3431952662721893,0.08620689655172414,0.1206896551724138,0.6724137931034483,0.1206896551724138,,
3d5f5b7ab06763f4,38,0.3684210526315789,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.9999921107792759,1.7607266100576642e-06
9a0e567ac324414e,97,0.23711340206185566,0.043478260869565216,0.2608695652173913,0.43478260869565216,0.2608695652173913,0.43783842263195155,5.423783701798407e-06
47304db92cbbd1cd,33,0.3939393939393939,0.0,0.0,0.7692307692307693,0.23076923076923078,,
56661b55e8a689c0,45,0.08888888888888889,0.25,0.0,0.75,0.0,0.9999869929851264,0.004070720760452704
a1f7e229ed39c84d,103,0.4563106796116505,0.10638297872340426,0.14893617021276595,0.46808510638297873,0.2765957446808511,0.9999756990924693,3.850742284947161e-09
31fa1a11c0ba803f,50,0.12,0.0,0.0,1.0,0.0,0.9996646464586867,0.009709550745763882
a68a0eaff29957d1,73,0.4794520547945205,0.11428571428571428,0.17142857142857143,0.6571428571428571,0.05714285714285714,0.9999999317444813,0.1824418835554705
0d5f51471deda11b,33,0.2727272727272727,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.0,,
3ab7954ea07eef7d,41,0.4634146341463415,0.0,0.15789473684210525,0.6842105263157895,0.15789473684210525,0.9859364446502544,4.223483533431081e-06
eacecf1491f4260d,62,0.2903225806451613,0.0,0.2777777777777778,0.6666666666666666,0.05555555555555555,,
ea6e6f79bc268a33,106,0.20754716981132076,0.09090909090909091,0.13636363636363635,0.5,0.2727272727272727,0.9999984465100938,0.001701075165306687
0a8ec7657c40cdbb,33,0.06060606060606061,0.0,0.0,1.0,0.0,,
ca6da15dc694e769,24,0.4166666666666667,0.3,0.1,0.5,0.1,,
9900c865cffa1472,69,0.4492753623188406,0.0967741935483871,0.12903225806451613,0.7419354838709677,0.03225806451612903,,
b890f5e193a0c46d,52,0.11538461538461539,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.9997040383567246,1.691898113637525e-10
aec63885663d8b72,21,0.6190476190476191,0.0,0.15384615384615385,0.7692307692307693,0.07692307692307693,,
691f2a680e0cdd12,137,0.18248175182481752,0.12,0.04,0.6,0.24,0.9998601736775372,0.11921107949209776
c6c9ce37e50f31f7,57,0.08771929824561403,0.0,0.2,0.6,0.2,,
132c791c0d0be238,65,0.1076923076923077,0.0,0.0,0.8571428571428571,0.14285714285714285,,
c7c855ab8c485a75,58,0.1724137931034483,0.0,0.2,0.6,0.2,0.9820138656203057,8.764248246082556e-08
e733e4542db14300,41,0.3170731707317073,0.0,0.15384615384615385,0.8461538461538461,0.0,,
1924e2f4cb2deaee,56,0.32142857142857145,0.05555555555555555,0.16666666666666666,0.5,0.2777777777777778,,
51a869a952b5a3c7,100,0.12,0.08333333333333333,0.0,0.75,0.16666666666666666,0.9999339461412506,0.5621910533916636
4c61c290d233425c,44,0.4772727272727273,0.0,0.09523809523809523,0.7619047619047619,0.14285714285714285,,
75f1623da2e2dfb2,31,0.45161290322580644,0.0,0.0,0.9285714285714286,0.07142857142857142,,
fcbb25149e34da06,135,0.17777777777777778,0.0,0.20833333333333334,0.6666666666666666,0.125,,
170fc34c0148254a,97,0.17525773195876287,0.058823529411764705,0.11764705882352941,0.6470588235294118,0.17647058823529413,,
51eabae17c9f4555,54,0.2962962962962963,0.1875,0.1875,0.4375,0.1875,0.9999967112648999,0.006693889840478672
10666269886e1d61,0,0.0,0.0,0.0,0.0,0.0,,
3f6e92ff97b82dd7,42,0.30952380952380953,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.9999995549168508,0.11921240734368019
277d3d39356c9b08,141,0.36879432624113473,0.038461538461538464,0.11538461538461539,0.8076923076923077,0.038461538461538464,,
cec3ddacce758b5d,70,0.15714285714285714,0.0,0.09090909090909091,0.9090909090909091,0.0,0.952574417291189,4.691164375598453e-08
7d97c63c4cce68ba,96,0.3020833333333333,0.034482758620689655,0.13793103448275862,0.5862068965517241,0.2413793103448276,,
033d27fc55276310,67,0.13432835820895522,0.2222222222222222,0.0,0.4444444444444444,0.3333333333333333,,
042c76bef1e88e7a,80,0.35,0.10714285714285714,0.21428571428571427,0.5,0.17857142857142858,,
441acb1d91d92926,17,0.35294117647058826,0.0,0.16666666666666666,0.8333333333333334,0.0,0.999988520683159,0.14806073800112857
d19c521fcc8e27e3,28,0.42857142857142855,0.0,0.3333333333333333,0.4166666666666667,0.25,,
db3e4c6bf91f5224,134,0.19402985074626866,0.0,0.0,0.8461538461538461,0.15384615384615385,,
d46837af19f58e4f,0,0.0,0.0,0.0,0.0,0.0,,
73c0160665c8f8cc,38,0.05263157894736842,0.0,0.5,0.5,0.0,,
65e13633ff66c120,118,0.2457627118644068,0.1724137931034483,0.10344827586206896,0.5862068965517241,0.13793103448275862,,
2a8f33d9748011b1,43,0.5813953488372093,0.04,0.0,0.76,0.2,,
9e1c4ca50b2e81b3,100,0.18,0.0,0.05555555555555555,0.8333333333333334,0.1111111111111111,,
2db216cfea459ffe,28,0.35714285714285715,0.0,0.0,0.7,0.3,,
110ef26ea7d27b51,122,0.13934426229508196,0.11764705882352941,0.058823529411764705,0.47058823529411764,0.35294117647058826,,
06746a8edbd80918,79,0.13924050632911392,0.0,0.09090909090909091,0.8181818181818182,0.09090909090909091,,
feb635adbdd6a546,90,0.32222222222222224,0.0,0.06896551724137931,0.7241379310344828,0.20689655172413793,0.9999974387305667,0.07586401571182622
202a756b8c0ccc61,15,0.06666666666666667,0.0,0.0,0.0,1.0,,
a31f5f1d53ce455f,90,0.18888888888888888,0.17647058823529413,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.9999756986553009,0.01098819869573213
56e18a40781007ad,79,0.4430379746835443,0.42857142857142855,0.11428571428571428,0.2571428571428571,0.2,0.9998766033108839,0.7773053265680737
b2d1114a8bb7794c,28,0.39285714285714285,0.0,0.18181818181818182,0.6363636363636364,0.18181818181818182,,
16842c25ea4f5073,46,0.41304347826086957,0.0,0.15789473684210525,0.5789473684210527,0.2631578947368421,,
a21f37c74dba4bae,34,0.17647058823529413,0.3333333333333333,0.5,0.16666666666666666,0.0,,
a39c02444d9705e6,63,0.1746031746031746,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.2727272727272727,,
